SlNo,imei,InfoType,Date Time,,F,Time,Validity,Latitude,Lat Direction,Longitude,Lng Direction,Speed,Course,Elevation,Acc,Battery,GSM,Version
1,imei:865609029330026,power on,18-01-2023 5.10,,F,51054,A,1255.5516,N,7739.8751,E,0.7,184,0,0,95,66,F1.7.2;
2,imei:865609029330026,tracker,18-01-2023 5.10,,F,51055,A,1255.5516,N,7739.8751,E,0.6,171,0,1,95,66,F1.7.2;
3,imei:865609029330026,tracker,18-01-2023 5.11,,F,51100,A,1255.5516,N,7739.8751,E,0.5,208,0,1,95,66,F1.7.2;
4,imei:865609029330026,tracker,18-01-2023 5.11,,F,51102,A,1255.5513,N,7739.8751,E,0.7,246,0,1,95,66,F1.7.2;
5,imei:865609029330026,tracker,18-01-2023 5.11,,F,51104,A,1255.5513,N,7739.8751,E,0.4,190,0,1,95,66,F1.7.2;
6,imei:865609029330026,tracker,18-01-2023 5.11,,F,51105,A,1255.5515,N,7739.8751,E,0.2,292,0,1,95,66,F1.7.2;
7,imei:865609029330026,tracker,18-01-2023 5.11,,F,51106,A,1255.5516,N,7739.8751,E,0.3,322,0,1,95,66,F1.7.2;
8,imei:865609029330026,tracker,18-01-2023 5.11,,F,51123,A,1255.5518,N,7739.8754,E,1,58,0,1,94,66,F1.7.2;
9,imei:865609029330026,tracker,18-01-2023 5.11,,F,51125,A,1255.5516,N,7739.8748,E,0.5,197,0,1,95,73,F1.7.2;
10,imei:865609029330026,tracker,18-01-2023 5.11,,F,51128,A,1255.551,N,7739.8751,E,0.6,148,0,1,94,73,F1.7.2;
11,imei:865609029330026,tracker,18-01-2023 5.11,,F,51133,A,1255.5507,N,7739.8752,E,0.8,116,0,1,94,73,F1.7.2;
12,imei:865609029330026,tracker,18-01-2023 5.11,,F,51135,A,1255.5505,N,7739.8757,E,1.3,147,0,1,94,73,F1.7.2;
13,imei:865609029330026,tracker,18-01-2023 5.11,,F,51139,A,1255.551,N,7739.875,E,0.1,60,0,1,91,73,F1.7.2;
14,imei:865609029330026,tracker,18-01-2023 5.11,,F,51140,A,1255.551,N,7739.8751,E,0.1,90,0,1,94,73,F1.7.2;
15,imei:865609029330026,tracker,18-01-2023 5.11,,F,51141,A,1255.551,N,7739.875,E,0.3,127,0,1,94,73,F1.7.2;
16,imei:865609029330026,tracker,18-01-2023 5.11,,F,51143,A,1255.5507,N,7739.8741,E,0.7,220,0,1,94,73,F1.7.2;
17,imei:865609029330026,tracker,18-01-2023 5.11,,F,51145,A,1255.5516,N,7739.8771,E,0.5,179,0,1,94,73,F1.7.2;
18,imei:865609029330026,tracker,18-01-2023 5.11,,F,51146,A,1255.551,N,7739.8774,E,1.3,143,0,1,94,73,F1.7.2;
19,imei:865609029330026,tracker,18-01-2023 5.11,,F,51151,A,1255.5497,N,7739.8778,E,1.3,183,0,1,94,73,F1.7.2;
20,imei:865609029330026,tracker,18-01-2023 5.11,,F,51155,A,1255.5488,N,7739.8812,E,1.7,142,0,1,94,76,F1.7.2;
21,imei:865609029330026,tracker,18-01-2023 5.11,,F,51159,A,1255.5489,N,7739.8828,E,1.6,111,0,1,94,76,F1.7.2;
22,imei:865609029330026,tracker,18-01-2023 5.12,,F,51206,A,1255.5497,N,7739.8831,E,0.5,186,0,1,94,76,F1.7.2;
23,imei:865609029330026,tracker,18-01-2023 5.12,,F,51207,A,1255.5502,N,7739.8823,E,1.2,270,0,1,94,76,F1.7.2;
24,imei:865609029330026,tracker,18-01-2023 5.12,,F,51212,A,1255.5508,N,7739.8813,E,0.2,208,0,1,94,76,F1.7.2;
25,imei:865609029330026,tracker,18-01-2023 5.12,,F,51213,A,1255.5515,N,7739.8815,E,0.9,39,0,1,94,76,F1.7.2;
